POS,QUALI,DRIVER,CAR,PTS,RACE,FAST LAP
1,4,Alain Prost,MCLAREN TAG,9,Brazilian,True
None,6,Niki Lauda,MCLAREN TAG,0,Brazilian,False
1,8,Niki Lauda,MCLAREN TAG,9,South Africa,False
2,5,Alain Prost,MCLAREN TAG,6,South Africa,False
None,14,Niki Lauda,MCLAREN TAG,0,Belgium,False
None,8,Alain Prost,MCLAREN TAG,0,Belgium,False
1,2,Alain Prost,MCLAREN TAG,9,Imola,False
None,5,Niki Lauda,MCLAREN TAG,0,Imola,False
1,9,Niki Lauda,MCLAREN TAG,9,FraNonee,True
7,5,Alain Prost,MCLAREN TAG,0,FraNonee,False
1,1,Alain Prost,MCLAREN TAG,4.5,Monaco,False
None,8,Niki Lauda,MCLAREN TAG,0,Monaco,False
2,8,Niki Lauda,MCLAREN TAG,6,Canada,False
3,2,Alain Prost,MCLAREN TAG,4,Canada,False
4,2,Alain Prost,MCLAREN TAG,3,Detroit,False
None,10,Niki Lauda,MCLAREN TAG,0,Detroit,False
None,5,Niki Lauda,MCLAREN TAG,0,Dallas,True
None,7,Alain Prost,MCLAREN TAG,0,Dallas,False
1,3,Niki Lauda,MCLAREN TAG,9,Great Britain,True
None,2,Alain Prost,MCLAREN TAG,0,Great Britain,False
1,1,Alain Prost,MCLAREN TAG,9,Germany,True
2,7,Niki Lauda,MCLAREN TAG,6,Germany,False
1,4,Niki Lauda,MCLAREN TAG,9,Austria,True
None,2,Alain Prost,MCLAREN TAG,0,Austria,False
1,1,Alain Prost,MCLAREN TAG,9,Netherlands,False
2,6,Niki Lauda,MCLAREN TAG,6,Netherlands,False
1,4,Niki Lauda,MCLAREN TAG,9,Italy,True
None,2,Alain Prost,MCLAREN TAG,0,Italy,False
1,2,Alain Prost,MCLAREN TAG,9,Europe,False
4,15,Niki Lauda,MCLAREN TAG,3,Europe,False
1,2,Alain Prost,MCLAREN TAG,9,Portugal,False
2,11,Niki Lauda,MCLAREN TAG,6,Portugal,True
