RACE,POS D1,QUALI D1,PTS D1,POS D2,QUALI D2,PTS D2,FAST LAP,SPRINT D1,SPRINT D2
Bahrain,2,1,18,1,2,25,No,0,0
Emilia Romagna,1,3,25,2,1,19,Hamilton,0,0
Portugal,2,3,18,1,2,25,No,0,0
Spain,2,2,19,1,1,25,Verstappen,0,0
Monaco,1,2,25,7,7,7,Hamilton,0,0
Azerbaijan,None,3,0,15,2,0,Verstappen,0,0
France,1,1,26,2,2,18,Verstappen,0,0
Styria,1,1,25,2,3,19,Hamilton,0,0
Austria,1,1,26,4,4,12,Verstappen,0,0
Great Britain,None,2,3,1,1,27,No,1,2
Hungary,9,3,2,2,1,18,No,0,0
Belgium,1,1,12.5,3,3,7.5,Hamilton,0,0
Netherlands,1,1,25,2,2,19,No,0,0
Italy,None,3,2,None,2,0,No,2,5
Russia,2,20,18,1,4,25,No,0,0
Turkey,2,3,18,5,1,10,No,0,0
United States ,1,1,25,2,2,19,Hamilton,0,0
Mexico,1,3,25,2,2,18,No,0,0
Brazil,2,1,20,1,20,25,No,2,5
Qatar,2,2,19,1,1,25,Verstappen,0,0
Saudi Arabia,2,3,18,1,1,26,Hamilton,0,0
Abu Dhabi,1,1,26,2,2,18,Verstappen,0,0
